Название аптеки,Адрес,Телефон,Цена
Гродненское РУП Фармация Аптека N117,"Зельва, д. Голынка, Луговая, 13",(01564) 31973,42.48 р.
Гродненское РУП Фармация Аптека N121,"Ошмяны, ул. Криничная, 3",(01593) 79149,42.48 р.
Гродненское РУП Фармация Аптека N126,"Новогрудок, ул. Волчецкого, 69А, маг. Копеечка",(01597) 46811,42.48 р.
Гродненское РУП Фармация Аптека N128,"Лида, пос. Первомайский, ул. Ленина, 12",(0154) 531546,42.48 р.
Гродненское РУП Фармация Аптека N140,"Волковыск, г.п. Россь, ул. 8 Марта, 12, жилой дом рядом с ТЦ Альтенбург, 1 этаж",(01512) 25859,42.48 р.
Гродненское РУП Фармация Аптека N167,"Вороново, ул. Юбилейная, 47, автостанция",(01594) 22666,42.48 р.
Гродненское РУП Фармация Аптека N169,"Гродно, ул. Воинов-Интернационалистов, 12-218",(0152) 658408,42.48 р.
Гродненское РУП Фармация Аптека N175,"Гродно, б-р Ленинского комсомола, 59, 3-я больница",(0152) 565903,42.48 р.
Гродненское РУП Фармация Аптека N176,"Волковыск, ул. Советская, 13",(01512) 59202,42.48 р.
Гродненское РУП Фармация Аптека N183,"Сморгонь, ул. Ровдо, 1",(01592) 38364,42.48 р.
Гродненское РУП Фармация Аптека N184,"Вороново, ул. Советская, 31, маг. Родны Кут",(01594) 20779,42.48 р.
Гродненское РУП Фармация Аптека N190,"Гродно, пр-т Янки Купалы, 89, 4-я городская больница",(0152) 676303,42.48 р.
Гродненское РУП Фармация Аптека N206,"Зельва, ул. 17 Сентября, 31",(0156) 72784,42.48 р.
Гродненское РУП Фармация Аптека N209,"Кореличи, ул. Гастелло, 21",(01596) 71696,42.48 р.
Гродненское РУП Фармация Аптека N210,"Мосты, ул. Пролетарская, 24А",(01515) 60303,42.48 р.
Гродненское РУП Фармация Аптека N222,"Лида, аг. Можейково, ул. Победы, 7",(01546) 21234,42.48 р.
Гродненское РУП Фармация Аптека N23,"Щучин, аг. Першемайск, ул. Первомайская, 7-2",(01514) 21069,42.48 р.
Гродненское РУП Фармация Аптека N247,"Гродно, ул. Асфальтная, 55, маг. Маяк",(0152) 783142,42.48 р.
Гродненское РУП Фармация Аптека N257,"Островец, ул. Энергетиков, 1/4",(01591) 28257,42.48 р.
Гродненское РУП Фармация Аптека N28,"Зельва, аг. Елка, ул. Ленина, 17",(01564) 32254,42.48 р.
Гродненское РУП Фармация Аптека N29,"Гродно, д. Новая Гожа, 5, амбулатория",(0152) 471887,42.48 р.
Гродненское РУП Фармация Аптека N42,"Щучин, аг. Орля, ул. Советская, 38, амбулатория",(01514) 38321,42.48 р.
Гродненское РУП Фармация Аптека N50,"Щучин, аг. Новый Двор, ул. Гродненская, 37Б",(01514) 73381,42.48 р.
Гродненское РУП Фармация Аптека N62,"Дятлово, г.п. Козловщина, ул. Советская, 25",(01563) 64835,42.48 р.
Ретфарм ООО Аптека N1,"Минск-Партизанский, ул. Чеботарева, 1-10",(017) 3962981,42.51 р.
Могилевское РУП Фармация Аптека N156,"Кличев, ул. Ленинская, 81",(02236) 71607,42.55 р.
АльфаАптека Аптека N19 Табина ООО,"Минск-Московский, ул. Сергея Есенина, 38, пом. 178",(017) 3171892,42.57 р.
Витафарм ООО Аптека N3,"Брест, ул. Московская, 327",(0162) 291723,42.57 р.
Белфармация Аптека N100,"Минск-Октябрьский, ул. Асаналиева, 40Б",(017) 3547943,42.57 р.
Белфармация Аптека N101 (филиал 1),"Минск-Фрунзенский, ул. Мазурова, 24, маг. Евроопт, 2 этаж",(017) 3634933,42.57 р.
Белфармация Аптека N102,"Минск-Заводской, ул. Бачило, 12-1",(017) 3953238,42.57 р.
Белфармация Аптека N102 (филиал 1),"Минск-Заводской, ул. Бачило, 9, 36-я городская пол-ка",(017) 3959021,42.57 р.
Белфармация Аптека N104,"Минск-Центральный, пр-т Победителей, 123-235",(017) 3235908,42.57 р.
Белфармация Аптека N104 (филиал 3),"Минск-Центральный, пр-т Победителей, 93, 4-я городская пол-ка",(017) 3736834,42.57 р.
Белфармация Аптека N104 (филиал 4),"Минск-Центральный, пр-т Победителей, 135-195",(017) 2320972,42.57 р.
Белфармация Аптека N104 (филиал 5),"Минск-Центральный, пр-т Победителей, 75, к. 1, пом. 17Н",(017) 2150970,42.57 р.
Белфармация Аптека N106 (филиал 3),"Минск-Фрунзенский, ул. Иосифа Жиновича, 21-197, м-н Домбровка",(017) 2603433,42.57 р.
Белфармация Аптека N109 (филиал 1),"Минск-Московский, ул. Сергея Есенина, 21, 5-я городская пол-ка",(017) 3690220,42.57 р.
Белфармация Аптека N109 (филиал 3),"Минск-Московский, пр-т Дзержинского, 83/1, БГМУ",(017) 3640966,42.57 р.
Белфармация Аптека N109 (филиал 5),"Минск-Московский, пр-т Дзержинского, 91, маг. Алми, 1 этаж",(017) 2360576,42.57 р.
Белфармация Аптека N110,"Минск-Первомайский, ул. Руссиянова, 9",(017) 2828721,42.57 р.
Белфармация Аптека N113 (филиал 1),"Минск-Московский, ул. Слободская, 131, маг. Евроопт",(017) 3377231,42.57 р.
Белфармация Аптека N13 (филиал 1),"Минск-Октябрьский, ул. Кижеватова, 58/3, БСМП, 1 этаж 12-ти этажного корпуса",(017) 3487453,42.57 р.
Белфармация Аптека N18,"Минск-Партизанский, ул. Захарова, 23, пом. 4Н",(017) 2718033,42.57 р.
Белфармация Аптека N19 (филиал 1),"Минск-Фрунзенский, ул. Сухаревская, 19, 10-я городская пол-ка",(017) 3754569,42.57 р.
Белфармация Аптека N20,"Минск-Московский, ул. Слободская, 15, пом. 2Н",(017) 3619019,42.57 р.
Белфармация Аптека N20 (филиал 3),"Минск-Московский, пр-т Дзержинского, 122-535, ст. м. Малиновка",(017) 2365801,42.57 р.
Белфармация Аптека N21 (филиал 1),"Минск-Заводской, пр-т Партизанский, 30, к. 1, пом. 2Н",(017) 3255482,42.57 р.
Белфармация Аптека N21 (филиал 6),"Минск-Заводской, пр-т Партизанский, 26/2, пом. 4",(017) 3508634,42.57 р.
Белфармация Аптека N23 (филиал 2),"Минск-Ленинский, ул. Станиславского, 32, 7-я городская пол-ка",(017) 3376152,42.57 р.
Белфармация Аптека N23 (филиал 4),"Минск-Ленинский, пр-т Партизанский, 13-4Н",(017) 2602743,42.57 р.
Белфармация Аптека N25 (филиал 3),"Минск-Партизанский, ул. Козлова, 16-2, вход с ул. Берестянская",(017) 3938160,42.57 р.
Белфармация Аптека N25 (филиал 4),"Минск-Партизанский, ул. Долгобродская, 39, 9-я городская детская пол-ка",(017) 3032949,42.57 р.
Белфармация Аптека N25 (филиал 5),"Минск-Первомайский, ул. Козлова, 31-11",(017) 2602713,42.57 р.
Белфармация Аптека N26,"Минск-Центральный, ул. Ленина, 4, ст. м. Октябрьская/Купаловская",(017) 3228024,42.57 р.
Белфармация Аптека N34 (филиал 1),"Минск-Партизанский, ул. Фроликова, 2, 14-я городская пол-ка",(017) 3736151,42.57 р.
Белфармация Аптека N34 (филиал 3),"Минск-Партизанский, ул. Фроликова, 3-3",(017) 2602786,42.57 р.
Белфармация Аптека N37 (филиал 1),"Минск-Советский, ул. Сурганова, 45/4, 33-я студенческая пол-ка",(017) 3790876,42.57 р.
Белфармация Аптека N37 (филиал 4),"Минск-Партизанский, ул. Уральская, 5, 6-я городская клиническая больница, 1 этаж терапевтического корпуса",(017) 2341434,42.57 р.
Белфармация Аптека N40,"Минск-Фрунзенский, ул. Болеслава Берута, 20-72",(017) 3956162,42.57 р.
Белфармация Аптека N47,"Минск-Партизанский, ул. Захарова, 67/2-2Н",(017) 3184811,42.57 р.
Белфармация Аптека N47 (филиал 1),"Минск-Первомайский, пр-т Независимости, 64, 1-я городская больница, терапевтический корпус N1, вход через отделение остеопороза",(017) 3774338,42.57 р.
Белфармация Аптека N48,"Минск-Фрунзенский, ул. Данилы Сердича, 9-1Н, рядом с маг. Хит! Стандарт",(017) 2437000,42.57 р.
Белфармация Аптека N48 (филиал 1),"Минск-Фрунзенский, ул. Жудро, 57-1Н",(017) 2631071,42.57 р.
Белфармация Аптека N54 (филиал 1),"Минск-Октябрьский, пос. Сокол, ул. Барамзиной, 12А",(017) 2434923,42.57 р.
Белфармация Аптека N54 (филиал 3),"Минск-Заводской, ул. Алтайская, 64/1-4Н",(017) 2584559,42.57 р.
Белфармация Аптека N55 (филиал 3),"Минск-Первомайский, ул. Руссиянова, 4-134",(017) 2602782,42.57 р.
Белфармация Аптека N59 (филиал 1),"Минск-Центральный, ул. Щедрина, 83, 16-я городская пол-ка",(017) 2501340,42.57 р.
Белфармация Аптека N59 (филиал 2),"Минск-Центральный, ул. Ратомская, 7-480д",(017) 2602761,42.57 р.
Белфармация Аптека N6,"Минск-Фрунзенский, ул. Пимена Панченко, 44-218",(017) 3383635,42.57 р.
Белфармация Аптека N61,"Минск-Советский, Логойский тр-т, 1/1-338",(017) 3244162,42.57 р.
Белфармация Аптека N61 (филиал 5),"Минск-Первомайский, ул. Макаенка, 13, амбулаторный центр КГБ",(017) 2728233,42.57 р.
Белфармация Аптека N65 (филиал 3),"Минск-Советский, ул. Якуба Коласа, 51/1-35",(017) 2431416,42.57 р.
Белфармация Аптека N67,"Минск-Заводской, ул. Шишкина, 26-412",(017) 3547644,42.57 р.
Белфармация Аптека N7 (филиал 1),"Минск-Заводской, ул. Бехтерева, 5, в фойе Городского психоневрологического диспансера",(017) 3102628,42.57 р.
Белфармация Аптека N7 (филиал 4),"Минск-Заводской, пр-т Партизанский, 182, пом. 1, гипермаркет Грин",(017) 2531770,42.57 р.
Белфармация Аптека N74 (филиал 3),"Минск-Октябрьский, ул. Казинца, 120-443, возле маг. Оптика",(017) 2715867,42.57 р.
Белфармация Аптека N79,"Минск-Фрунзенский, ул. Данилы Сердича, 88, рядом с 12-й городской пол-кой",(017) 3561500,42.57 р.
Белфармация Аптека N80 (филиал 2),"Минск-Ленинский, пр-т Рокоссовского, 44/2-2, мед. центр Аква-Минск клиника, 3 этаж",(017) 3790386,42.57 р.
Белфармация Аптека N81 (филиал 3),"Минск-Московский, ул. Семашко, 8/1, Минский НПЦ хирургии,трансплантологии и гематологии",(017) 3587971,42.57 р.
Белфармация Аптека N9 (филиал 1),"Минск-Советский, ул. Веры Хоружей, 8, пав. 4.1, Комаровский рынок, 1 этаж",(017) 2356368,42.57 р.
Белфармация Аптека N90,"Минск-Заводской, ул. Нестерова, 51, пом. 8",(017) 3733130,42.57 р.
Белфармация Аптека N90 (филиал 1),"Минск-Заводской, ул. Герасименко, 49, 17-я городская пол-ка",(017) 2152761,42.57 р.
АльфаАптека Аптека N10 ОДО Аленфарм плюс,"Минск-Первомайский, ул. Городецкая, 22",(017) 2275589,42.57 р.
АльфаАптека Аптека N25 Не Ска ООО,"Минск-Московский, ул. Космонавтов, 28, маг. Санта",(017) 2352101,42.57 р.
АльфаАптека Аптека N30 Не Ска ООО,"Минск-Ленинский, ул. Маяковского, 16-2Н, Магазин Санта",(017) 3601022,42.57 р.
АльфаАптека Аптека N4 Не Ска ООО,"Минск-Московский, ул. Голубева, 24А, маг. Соседи",(017) 3442479,42.57 р.
АльфаАптека Аптека N8 Не Ска ООО,"Минск-Ленинский, Игуменский тр-т, 11, магазин Green",(017) 3797655,42.57 р.
АльфаАптека Аптека N1 Беллерофон ООО,"Минск-Ленинский, ул. Шпилевского, 60, пом. 4Н",(017) 3957146,42.57 р.
АльфаАптека Аптека N18 ОДО Аленфарм плюс,"Минск-Ленинский, ул. Малинина, 24",(017) 3032417,42.57 р.
АльфаАптека Аптека N6 Беллерофон ООО,"Минск-Фрунзенский, ул. Бельского, 2, пом. 3Н",(017) 2212612,42.57 р.
Радикс Аптека N2 ООО Диалпро,"Минск-Фрунзенский, ул. Петра Глебки, 120",(017) 2355133,42.60 р.
Радикс Аптека N7 ООО Диалпро,"Минск-Советский, ул. Сурганова, 50-4, ТЦ Рига",(017) 2701758,42.60 р.
Радикс Аптека N1 ООО Радикс-С,"Минск-Первомайский, ул. Якуба Коласа, 48",(017) 3615226,42.60 р.
Радикс Аптека N11 ООО Радикс-С,"Минск-Центральный, ул. Заславская, 23/1",(017) 3044800,42.60 р.
Радикс Аптека N15 ООО Радикс-С,"Минск-Первомайский, ул. Никифорова, 45",(017) 3602037,42.60 р.
Радикс Аптека N16 ООО Радикс-С,"Минск-Фрунзенский, ул. Бельского, 69",(017) 2247876,42.60 р.
Радикс Аптека N2 ООО Радикс-С,"Минск-Октябрьский, ул. Казинца, 121",(017) 3383305,42.60 р.
Радикс Аптека N5 ООО Радикс-С,"Минск-Фрунзенский, ул. Лобанка, 94",(017) 2021572,42.60 р.
Радикс Аптека N12 ООО Диалпро,"Минск-Партизанский, ул. Солтыса, 46",(017) 3786604,42.60 р.
Радикс Аптека N18 ООО Диалпро,"Смолевичи, ул. Центральная, 13",(0177) 650311,42.60 р.
Радикс Аптека N10 ООО Диалпро,"Толочин, ул. Володарского, 9",(02136) 55689,42.60 р.
Радикс Аптека N14 ООО Радикс-С,"Минск-Первомайский, ул. Гинтовта, 12",(017) 3735945,42.60 р.
Радикс Аптека N4 ООО Радикс-С,"Минск-Первомайский, ул. Руссиянова, 6",(017) 3161821,42.60 р.
Радикс Аптека N7 ООО Радикс-С,"Минск-Октябрьский, ул. Асаналиева, 40, к. 1",(017) 3746271,42.60 р.
Радикс Аптека N12 ООО Радикс-С,"Минск-Первомайский, ул. Волгоградская, 4",(017) 2769003,42.60 р.
Радикс Аптека N13 ООО Радикс-С,"Гомель, ул. Черноморская, 13",(0232) 285894,от 42.60 р.
Радикс Аптека N19 ООО Диалпро,"Михановичи, аг. Михановичи, ул. Привокзальная, 15А",(017) 5108223,42.60 р.
Радикс Аптека N3 ООО Диалпро,"Минск-Первомайский, ул. Макаенка, 13Б",(017) 3700491,42.60 р.
ADEL Аптека N14 ЗАО Аптека групп Юг,"Могилев, ул. Первомайская, 69А/41",(044) 5034264,42.64 р.
ADEL Аптека N15 ЗАО Аптека групп Юг,"Могилев, ул. Первомайская, 42",(044) 5034264,42.64 р.
ADEL Аптека N20 ООО Аптека групп Запад,"Брест, ул. Гоголя, 83",(044) 5034264,42.64 р.
ADEL Аптека N61 ООО Аптека групп Центр,"Минск-Первомайский, пр-т Независимости, 179-7, ТЦ Спектр, главный вход 1 этаж",(044) 5034264,42.64 р.
ADEL Аптека N65 ООО Аптека групп Центр,"Минск-Московский, пр-т Дзержинского, 19",(044) 5034264,42.64 р.
ADEL Аптека N69 ООО Аптека групп Центр,"Минск-Московский, пр-т Дзержинского, 3Б-3, ТЦ Океан",(044) 5034264,42.64 р.
ADEL Аптека N71 ООО Аптека групп Центр,"Минск-Первомайский, ул. Макаенка, 11, маг. Санта",(044) 5034264,42.64 р.
ADEL Аптека N72 ООО Аптека групп Центр,"Минск-Центральный, пр-т Победителей, 84, ТРЦ Арена сити, рядом с кассами маг. Green",(044) 5034264,42.64 р.
ADEL Аптека N74 ООО Аптека групп Центр,"Минск-Октябрьский, пр-т Мира, 6-273, ЖК Минск-Мир, здание Сочи",(044) 5034264,42.64 р.
ADEL Аптека N77 ООО Аптека групп Центр,"Минск-Октябрьский, ул. Бобруйская, 6-13, ТРЦ Galileo, 2 этаж, рядом маг. Соседи",(044) 5034264,42.64 р.
ADEL Аптека N85 ООО Аптека групп Центр,"Минск-Центральный, ул. Нововиленская, 31-348, ЖК Левада",(044) 5034264,42.64 р.
ADEL Аптека N94 ООО Аптека групп Центр,"Минск-Московский, пр-т Дзержинского, 94",(044) 5034264,42.64 р.
Добрыя Леки Аптека N13 ООО Аптека групп Запад,"Береза, ул. Ленина, 64-15",моб. 5355757,42.64 р.
Добрыя Леки Аптека N16 ЗАО Аптека групп Юг,"Могилев, ул. Королева, 37А/2",моб. 5355757,42.64 р.
Добрыя леки Аптека N16 ООО Аптека групп Запад,"Брест, ул. Пушкинская, 102А, маг. Mart Inn",моб. 5355757,42.64 р.
Добрыя Леки Аптека N17 ЗАО Аптека групп Юг,"Могилев, ул. Якубовского, 22, маг. Грошык",моб. 5355757,42.64 р.
Добрыя Леки Аптека N19 ЗАО Аптека групп Юг,"Могилев, б-р Непокоренных, 65",моб. 5355757,42.64 р.
Добрыя Леки Аптека N20 ЗАО Аптека групп Юг,"Гомель, ул. Дворникова, 7, пом. 54",моб. 5355757,42.64 р.
Добрыя Леки Аптека N21 ЗАО Аптека групп Юг,"Ветка, ул. Октябрьская, 47, напротив автостанции",моб. 5355757,42.64 р.
Добрыя Леки Аптека N22 ЗАО Аптека групп Юг,"Могилев, ул. Мовчанского, 25-98, ТЦ Маяк",моб. 5355757,42.64 р.
Добрыя Леки Аптека N25 ООО Аптека групп Запад,"Брест, ул. Гродненская, 32, маг. Техника и быт",моб. 5355757,42.64 р.
Добрыя Леки Аптека N27 ООО Аптека групп Запад,"Слоним, ул. Брестская, 109А-3",моб. 5355757,42.64 р.
Добрыя Леки Аптека N28 ЗАО Аптека групп Юг,"Климовичи, ул. Ленина, 11, в здании Беларусьбанка",моб. 5355757,42.64 р.
Добрыя Леки Аптека N30 ЗАО Аптека групп Юг,"Гомель, ул. Головацкого, 113-73",моб. 5355757,42.64 р.
Добрыя Леки Аптека N34 ООО Аптека групп Запад,"Барановичи, ул. Глинки, 44",моб. 5355757,42.64 р.
Добрыя Леки Аптека N35 ЗАО Аптека групп Юг,"Гомель, пр-т Речицкий, 61",моб. 5355757,42.64 р.
Добрыя Леки Аптека N37 ЗАО Аптека групп Юг,"Гомель, пр-т Октября, 41",моб. 5355757,42.64 р.
Добрыя Леки Аптека N38 ЗАО Аптека групп Юг,"Светлогорск, м-н Молодежный, 20А",моб. 5355757,42.64 р.
Добрыя Леки Аптека N4 ЗАО Аптека групп Юг,"Могилев, пр-т Пушкинский, 38-41",моб. 5355757,42.64 р.
Добрыя леки Аптека N4 ООО Аптека групп Запад,"Скидель, ул. Гагарина, 8А, маг. Авоська",моб. 5355757,42.64 р.
Добрыя Леки Аптека N40 ООО Аптека групп Запад,"Кобрин, ул. Ленина, 200, маг. Вектор",моб. 5355757,42.64 р.
Добрыя Леки Аптека N41 ООО Аптека групп Запад,"Островец, ул. Ленинская, 14-1, пом. 3",моб. 5355757,42.64 р.
Добрыя Леки Аптека N42 ЗАО Аптека групп Юг,"Светлогорск, м-н Первомайский, 3, маг. Fix Рrice",моб. 5355757,42.64 р.
Добрыя Леки Аптека N45 ЗАО Аптека групп Юг,"Гомель, ул. Ильича, 194",моб. 5355757,42.64 р.
Добрыя Леки Аптека N47 ЗАО Аптека групп Юг,"Калинковичи, ул. Советская, 104-2",моб. 5355757,42.64 р.
Добрыя леки Аптека N47 ООО Аптека групп Запад,"Гродно, ул. Пушкина, 39А, маг. Санта",моб. 5355757,42.64 р.
Добрыя Леки Аптека N48 ООО Аптека групп Запад,"Брест, ул. Советской Конституции, 21-1",моб. 5355757,42.64 р.
Добрыя Леки Аптека N5 ЗАО Аптека групп Юг,"Могилев, ул. Народного Ополчения, 20",моб. 5355757,42.64 р.
Добрыя Леки Аптека N51 ООО Аптека групп Запад,"Гродно, ул. Малыщинская, 5-107",моб. 5355757,42.64 р.
Добрыя Леки Аптека N53 ООО Аптека групп Центр,"Молодечно, ул. Янки Купалы, 130-2, маг. Евроопт",моб. 5355757,42.64 р.
Добрыя леки Аптека N54 ООО Аптека групп Центр,"Минск-Заводской, ул. Рудобельская, 3-67",моб. 5355757,42.64 р.
Добрыя Леки Аптека N56 ООО Аптека групп Центр,"Минск-Фрунзенский, ул. Янковского, 44",моб. 5355757,42.64 р.
Добрыя Леки Аптека N57 ЗАО Аптека групп Юг,"Гомель, ул. Дубравная, 11, маг. Соседи",моб. 5355757,42.64 р.
Добрыя Леки Аптека N57 ООО Аптека групп Запад,"Слоним, ул. Красноармейская, 16-2",моб. 5355757,42.64 р.
Добрыя леки Аптека N58 ООО Аптека групп Запад,"Гродно, ул. Максима Горького, 57-18",моб. 5355757,42.64 р.
Добрыя Леки Аптека N59 ЗАО Аптека групп Юг,"Гомель, ул. Косарева, 53, маг. Соседи",моб. 5355757,42.64 р.
Добрыя леки Аптека N6 ЗАО Аптека групп Юг,"Могилев, пр-т Пушкинский, 35Б, маг. Перекресток",моб. 5355757,42.64 р.
Добрыя Леки Аптека N62 ЗАО Аптека групп Юг,"Калинковичи, ул. 50 лет Октября, 83/2, ТЦ Global market",моб. 5355757,42.64 р.
Добрыя Леки Аптека N62 ООО Аптека групп Центр,"Молодечно, ул. Богдана Хмельницкого, 6-2",моб. 5355757,42.64 р.
Добрыя Леки Аптека N63 ЗАО Аптека групп Юг,"Калинковичи, ул. Советская, 124, ТЦ Синергия",моб. 5355757,42.64 р.
Добрыя Леки Аптека N63 ООО Аптека групп Центр,"Молодечно, ул. Великий Гостинец, 143-6, ТЦ Модуль",моб. 5355757,42.64 р.
Добрыя Леки Аптека N64 ЗАО Аптека групп Юг,"Калинковичи, ул. 50 лет Октября, 20Б, маг. Соседи",моб. 5355757,42.64 р.
Добрыя Леки Аптека N64 ООО Аптека групп Запад,"Брест, ул. Васнецова, 62-95",моб. 5355757,42.64 р.
Добрыя Леки Аптека N65 ООО Аптека групп Запад,"Кобрин, ул. Дружбы, 21А, пом. 11,12",моб. 5355757,42.64 р.
Добрыя Леки Аптека N66 ООО Аптека групп Центр,"Молодечно, ул. Великий Гостинец, 80-56",моб. 5355757,42.64 р.
Добрыя Леки Аптека N68 ЗАО Аптека групп Юг,"Рогачев, ул. Ленина, 78, пом. 37",моб. 5355757,42.64 р.
Добрыя Леки Аптека N68 ООО Аптека групп Центр,"Молодечно, ул. Франциска Скорины, 23",моб.5355757,42.64 р.
Добрыя Леки Аптека N69 ЗАО Аптека групп Юг,"Быхов, ул. Красноармейская, 32",моб. 5355757,42.64 р.
Добрыя леки Аптека N7 ООО Аптека групп Запад,"Гродно, ул. Комарова, 26А",моб. 5355757,42.64 р.
Добрыя Леки Аптека N73 ООО Аптека групп Центр,"Минск-Партизанский, пр-т Партизанский, 37, маг. Евроопт",моб. 5355757,42.64 р.
Добрыя Леки Аптека N75 ЗАО Аптека групп Юг,"Светлогорск, ул. Ленина, 22-1",моб. 5355757,42.64 р.
Добрыя Леки Аптека N75 ООО Аптека групп Центр,"Минск-Фрунзенский, ул. Одинцова, 20",моб. 5355757,42.64 р.
Добрыя Леки Аптека N76 ООО Аптека групп Центр,"Минск-Московский, ул. Громова, 20, маг. Соседи",моб. 5355757,42.64 р.
Добрыя Леки Аптека N77 ЗАО Аптека групп Юг,"Мозырь, б-р Дружбы, 11А-3, ТЦ Global Market",моб. 5355757,42.64 р.
Добрыя Леки Аптека N82 ООО Аптека групп Центр,"Минск-Заводской, Новодворский с/с, М-4, 5-й км, 4, маг. Белмаркет",моб. 5355757,42.64 р.
Добрыя Леки Аптека N83 ЗАО Аптека групп Юг,"Климовичи, ул. 50 лет СССР, 23Б, маг. Санта",моб. 5355757,42.64 р.
Добрыя Леки Аптека N84 ООО Аптека групп Центр,"Минск-Октябрьский, ул. Бакинская, 20",моб. 5355757,42.64 р.
Добрыя Леки Аптека N89 ООО Аптека групп Центр,"Минск-Фрунзенский, ул. Янки Мавра, 44, маг. Мила",моб. 5355757,42.64 р.
Добрыя Леки Аптека N9 ЗАО Аптека групп Юг,"Могилев, ул. Каштановая, 2",моб. 5355757,42.64 р.
Добрыя леки Аптека N97 ООО Аптека групп Центр,"Колодищи, трасса М-2, 4А, 9-ый км, пом. 82, маг. Санта",моб. 5355757,42.64 р.
Добрыя леки Аптека N98 ООО Аптека групп Центр,"Минск-Фрунзенский, пр-т Пушкина, 37, маг. Green",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N1 ОДО Синтекс,"Минск-Советский, ул. Кольцова, 10",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N11 ЗАО Аптека групп Юг,"Могилев, пр-т Мира, 6",моб. 5355757,42.64 р.
Добрыя леки-Эканом Аптека N11 ООО Аптека групп Запад,"Брест, ул. Гвардейская, 9",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N12 ЗАО Аптека групп Юг,"Могилев, пр-т Шмидта, 70А",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N18 ЗАО Аптека групп Юг,"Могилев, ул. Турова, 24А",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N2 ЗАО Аптека групп Юг,"Могилев, ул. 30 лет Победы, 12А",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N33 ЗАО Аптека групп Юг,"Гомель, ул. Советская, 41",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N34 ЗАО Аптека групп Юг,"Гомель, пр-т Космонавтов, 64-5",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N36 ЗАО Аптека групп Юг,"Гомель, ул. Катунина, 22-1",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N36 ООО Аптека групп Запад,"Брест, ул. Пригородная, 32А, микрорайон Речица",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N51 ЗАО Аптека групп Юг,"Гомель, ул. Быховская, 115-193, ТЦ Старый богатырь",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N52 ООО Аптека групп Запад,"Брест, б-р Космонавтов, 40-122",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N54 ЗАО Аптека групп Юг,"Гомель, ул. Интернациональная, 33-60",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N58 ЗАО Аптека групп Юг,"Гомель, пр-т Речицкий, 80-87",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N59 ООО Аптека групп Запад,"Гродно, ул. Курчатова, 22-231",моб. 5355757,42.64 р.
Добрыя леки-Эканом Аптека N66 ООО Аптека групп Запад,"Гродно, ул. Малыщинская, 2-55",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N80 ООО Аптека групп Центр,"Минск-Партизанский, ул. Олега Кошевого, 9-3Н, рядом с входом в маг. Санта",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N81 ООО Аптека групп Центр,"Минск-Заводской, ул. Голодеда, 34А, маг. Соседи",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N88 ООО Аптека групп Центр,"Минск-Московский, ул. Голубева, 14Б",моб. 5355757,42.64 р.
Добрыя Леки-Эканом Аптека N90 ООО Аптека групп Центр,"Минск-Ленинский, пр-т Рокоссовского, 145",моб. 5355757,42.64 р.
ADEL Аптека N1 ОДО Амадей,"Гомель, пр-т Победы, 8-54",(044) 5034264,42.64 р.
Добрыя Леки Аптека N10 ОДО Амадей,"Гомель, пр-т Космонавтов, 61А",моб. 5355757,42.64 р.
Добрыя леки Аптека N11 ОДО Амадей,"Гомель, ул. Царикова, 1А-2",моб. 5355757,42.64 р.
Добрыя леки Аптека N12 ОДО Амадей,"Гомель, ул. Советская, 40А, маг. Зообазар",моб. 5355757,42.64 р.
Добрыя Леки Аптека N13 ОДО Амадей,"Гомель, ул. Давыдовская, 14, маг. Евроопт",моб. 5355757,42.64 р.
Добрыя Леки Аптека N14 ОДО Амадей,"Гомель, ул. Бочкина, 182, маг. Евроопт",моб. 5355757,42.64 р.
Добрыя леки Аптека N19 ОДО Амадей,"Гомель, ул. Минская, 44, рядом с маг. Друзья",моб. 5355757,42.64 р.
Добрыя Леки Аптека N20 ОДО Амадей,"Гомель, пр-т Ленина, 14-25",(044) 5355757,42.64 р.
Добрыя Леки Аптека N23 ОДО Амадей,"Гомель, ул. Ильича, 270-133",моб. 5355757,42.64 р.
Добрыя Леки Аптека N24 ОДО Амадей,"Калинковичи, ул. 60 лет БССР, 2а",моб. 5355757,42.64 р.
