Название,Адрес,Время работы,Телефон,Широта,Долгота
Гродненское РУП Фармация Аптека N177,"Волковыск, г.п. Красносельский, ул. Строителей, 6А","10.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 14.00-14.30 Праздничные дни: выходной",(01512) 63792,53.264889,24.418508
Гродненское РУП Фармация Аптека N178,"Сморгонь, ул. Синицкого, 4, филиал педиатрического отделения районной пол-ки","08.00-17.30, пн.; 08.00-18.00, вт.; 08.00-18.00, ср.; 08.00-18.00, чт.; 08.00-18.00, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01592) 36112,54.478594,26.415970
Гродненское РУП Фармация Аптека N179,"Дятлово, ул. Победы, 2","08.00-18.00, пн.–пт.; 08.00-13.00, сб.; выходной, вс.; Праздничные дни: выходной",(01563) 67452,53.462301,25.395592
Гродненское РУП Фармация Аптека N18,"Гродно, аг. Озеры, ул. Рощенки, 2","08.30-17.30, пн.–пт.; 09.00-15.00, сб.; выходной, вс.; Праздничные дни: выходной;",(0152) 609947,53.718689,24.181601
Гродненское РУП Фармация Аптека N180,"Гродно, ул. Обухова, 15/1, 5-я городская пол-ка","07.30-20.00, пн.–пт.; 09.00-15.00, сб.; выходной, вс.; Праздничные дни: выходной",(0152) 611236,53.680639,23.864099
Гродненское РУП Фармация Аптека N181,"Кореличи, ул. 8 Марта, 60, пол-ка","08.00-18.00, пн.–пт.; 09.00-13.00, сб.; выходной, вс.; Праздничные дни: выходной;",(01596) 20433,53.577588,26.131030
Гродненское РУП Фармация Аптека N182,"Свислочь, ул. 17 Сентября, 3/4","08.00-16.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01513) 77027,53.034118,24.094355
Гродненское РУП Фармация Аптека N183,"Сморгонь, ул. Ровдо, 1","09.00-20.30, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Праздничные дни: 10:00-18:00;",(01592) 38364,54.474925,26.408915
Гродненское РУП Фармация Аптека N184,"Вороново, ул. Советская, 31, маг. Родны Кут","09.00-19.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздничные дни: выходной",(01594) 20779,54.151539,25.319780
Гродненское РУП Фармация Аптека N185,"Ошмяны, ул. Юбилейная, 9/11","08.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",(01593) 75399,54.424910,25.962220
Гродненское РУП Фармация Аптека N186,"Гродно, ул. Советских Пограничников, 115","09.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.",(0152) 654582,53.673716,23.797180
Гродненское РУП Фармация Аптека N187,"Лида, ул. Труханова, 25, 2-я пол-ка","08.00-20.00, пн.–пт.; 08.00-14.00, сб.; выходной, вс.; Перерыв: 12.00-12.30 Праздничные дни: выходной",(0154) 541426,53.881861,25.297654
Гродненское РУП Фармация Аптека N188,"Гродно, аг. Обухово, ул. Центральная, 4А","09.00-17.15, пн.–пт.; 09.00-15.15, сб.; выходной, вс.; Санитарные часы: вторая среда каждого месяца с 13:00 до 15:00;                                Праздничные дни: выходной;",(0152) 473945,53.606341,24.083040
Гродненское РУП Фармация Аптека N189,"Гродно, ул. Белые Росы, 65-94","10.00-20.30, пн.–пт.; 10.00-18.00, сб.; 11.00-17.00, вс.; Праздничные дни: выходной;",(0152) 565193,53.713734,23.862766
Гродненское РУП Фармация Аптека N19,"Гродно, аг. Индура, ул. Рогачевского, 57, маг. Перекресток","09.00-19.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Праздничные дни: выходной",(0152) 601958,53.459741,23.882520
Гродненское РУП Фармация Аптека N190,"Гродно, пр-т Янки Купалы, 89, 4-я городская больница","08.30-16.30, пн.; 08.30-16.30, вт.; 08.30-16.00, ср.; 08.30-16.30, чт.; 08.30-16.30, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(0152) 676303,53.649177,23.858012
Гродненское РУП Фармация Аптека N192,"Ивье, пл. Комсомольская, 10","09.00-18.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.; Праздничные дни: 09:00-18:00;",(01595) 60080,53.930401,25.769360
Гродненское РУП Фармация Аптека N193,"Сморгонь, б-р Надежд, 71","08.00-18.00, пн.–пт.; 08.00-14.00, сб.; выходной, вс.; Перерыв: 12.40-13.00 Праздничные дни: выходной",(01592) 43251,54.507526,26.375255
Гродненское РУП Фармация Аптека N195,"Гродно, ул. Великая Ольшанка, 13, маг. Санта","11.00-19.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",(0152) 670275,53.622364,23.815599
Гродненское РУП Фармация Аптека N196,"Лида, ул. Тавлая, 33, маг. Санта","09.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Перерыв: 14.00-14.20 Праздничные дни: 9:00-17:00;",(0154) 625885,53.895626,25.318337
Гродненское РУП Фармация Аптека N197,"Берестовица, ул. Дзержинского, 2","09.30-17.30, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01511) 71382,53.191993,24.019231
Гродненское РУП Фармация Аптека N198,"Свислочь, ул. 17 Сентября, 12","09.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12.00-13.00 Праздничные дни: выходной",(01513) 72423,53.035366,24.092369
Гродненское РУП Фармация Аптека N199,"Гродно, пр-т Янки Купалы, 71, возле гостиницы Турист","10.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходные",(0152) 390068,53.653010,23.849274
Гродненское РУП Фармация Аптека N20,"Мосты, аг. Лунно, ул. Комсомольская, 16","09.15-16.15, пн.; выходной, вт.; 09.15-16.15, ср.; 09.15-15.15, чт.; выходной, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01515) 33868,53.455123,24.263177
Гродненское РУП Фармация Аптека N200,"Гродно, ул. Врублевского, 46/1, 4-я пол-ка","07.30-20.30, пн.–пт.; 08.30-18.00, сб.; 10.00-18.00, вс.; Праздничные дни: выходной",(0152) 611395,53.702516,23.806140
Гродненское РУП Фармация Аптека N201,"Новогрудок, ул. Волчецкого, 51А, пол-ка УЗ ЦРБ","08.00-18.30, пн.–пт.; 09.00-14.00, сб.; выходной, вс.; Праздничные дни: выходной;",(01597) 45131,53.594499,25.810988
Гродненское РУП Фармация Аптека N202,"Щучин, ул. Ленина, 44","08.00-20.00, пн.–пт.; 09.00-16.00, сб.; 09.00-16.00, вс.; Праздничные дни: выходной;",(01514) 20684,53.604191,24.741380
Гродненское РУП Фармация Аптека N203,"Гродно, ул. Максима Горького, 91-7, ТЦ Корона, зал Б, пав. Б-50","10.30-18.00, пн.; 10.30-19.00, вт.; 10.30-19.00, ср.; 10.30-19.00, чт.; 10.30-19.00, пт.; 10.00-19.00, сб.; 10.00-18.00, вс.; Перерыв: 13.30-13.50; Праздничные дни: 10:00-18:00;",(0152) 607577,53.712082,23.816112
Гродненское РУП Фармация Аптека N204,"Гродно, ул. Курчатова, 27-124","11.00-19.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",(0152) 441603,53.707904,23.841377
Гродненское РУП Фармация Аптека N205,"Гродно, ул. Дзержинского, 54А-3, маг. Санта","10.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-18.00, вс.; Праздничные дни: 10.00-18.00;",(0152) 681245,53.694834,23.838853
Гродненское РУП Фармация Аптека N206,"Зельва, ул. 17 Сентября, 31","09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.; Праздничные дни: выходной",(0156) 72784,53.150074,24.817765
Гродненское РУП Фармация Аптека N207,"Мосты, д. Мосты Правые","выходной, пн.; выходной, вт.; 08.00-18.00, ср.; выходной, чт.; 08.00-18.00, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01515) 62394,53.424032,24.621681
Гродненское РУП Фармация Аптека N208,"Дятлово, Даниловичский с/с, 10, сан. Радон, главный корпус","08.00-16.30, пн.; 08.00-16.30, вт.; выходной, ср.; 08.00-16.30, чт.; 08.00-16.30, пт.; 08.00-14.00, сб.; выходной, вс.; Праздничные дни: выходной",(01563) 69366,53.517269,25.503039
Гродненское РУП Фармация Аптека N209,"Кореличи, ул. Гастелло, 21","11.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Праздничные дни: выходной;",(01596) 71696,53.561289,26.147811
Гродненское РУП Фармация Аптека N21,"Гродно, аг. Поречье, ул. Розы Люксембург, 31-1","08.00-19.00, пн.–пт.; 09.00-17.00, сб.; 10.00-16.00, вс.; Перерыв: 14.00-14.20 Праздничные дни: выходной",(0152) 609533,53.886617,24.139842
Гродненское РУП Фармация Аптека N210,"Мосты, ул. Пролетарская, 24А","выходной, пн.; 09.00-19.00, вт.; выходной, ср.; выходной, чт.; 09.00-19.00, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01515) 60303,53.401602,24.535504
Гродненское РУП Фармация Аптека N211,"Ошмяны, ул. Советская, 126","08.00-19.00, пн.–пт.; 08.00-16.00, сб.; 08.00-16.00, вс.; Праздничные дни: 8.00-16.00",(01593) 79136,54.424397,25.934105
Гродненское РУП Фармация Аптека N212,"Гродно, ул. Огинского, 15, 8-ая пол-ка","07.30-21.00, пн.–пт.; 08.30-19.00, сб.; 08.30-19.00, вс.; Праздничные дни: выходной;",(0152) 623218,53.617500,23.814590
Гродненское РУП Фармация Аптека N213,"Скидель, ул. Зеленая, 1А, пол-ка","09.00-16.45, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",(0152) 322042,53.586387,24.257594
Гродненское РУП Фармация Аптека N214,"Волковыск, д. Ковали, сан. Энергетик","13.00-17.00, пн.; выходной, вт.; 08.30-17.00, ср.; выходной, чт.; 08.30-17.00, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01512) 68300,53.383892,24.402585
Гродненское РУП Фармация Аптека N215,"Гродно, ул. Максима Горького, 77, роддом","08.30-16.30, пн.; 08.30-16.30, вт.; 08.30-16.10, ср.; 08.30-16.30, чт.; 08.30-16.30, пт.; выходной, сб.; выходной, вс.; Вход только для пациентов поликлиники",(0152) 643006,53.700117,23.820150
Гродненское РУП Фармация Аптека N216,"Сморгонь, пер. Больничный, 13, ЦРБ","08.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01592) 41863,54.489064,26.405816
Гродненское РУП Фармация Аптека N218,"Берестовица, аг. Малая Берестовица, ул. Цитаишвили, 8","08.30-16.30, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01511) 72053,53.286085,23.936631
Гродненское РУП Фармация Аптека N219,"Сморгонь, ул. Ленина, 46В, рядом с маг. Корона","09.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Праздничные дни: 10:00-18:00;",(01592) 25066,54.478451,26.419614
Гродненское РУП Фармация Аптека N22,"Гродно, ул. В. Глухова, 28-53","10.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.; Праздничные дни: выходной;",(0152) 783506,53.722025,23.881936
Гродненское РУП Фармация Аптека N220,"Гродно, ул. Суворова, 21-67, стоматологическая пол-ка","10.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(0152) 652923,53.660394,23.812353
Гродненское РУП Фармация Аптека N221,"Гродно, ул. Фолюш, 15/204, пом. 4","08.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Праздничные дни: выходной",(0152) 691423,53.661878,23.781963
Гродненское РУП Фармация Аптека N222,"Лида, аг. Можейково, ул. Победы, 7","08.30-15.30, пн.; выходной, вт.; 08.30-15.30, ср.; выходной, чт.; 08.30-14.30, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01546) 21234,53.721205,24.984991
Гродненское РУП Фармация Аптека N223,"Гродно, ул. Лиможа, 25, 6-я пол-ка","07.30-21.00, пн.–пт.; 08.00-20.00, сб.; 10.00-19.00, вс.; Праздничные дни: 10.00-19.00",(0152) 782889,53.709666,23.850425
Гродненское РУП Фармация Аптека N224,"Волковыск, ул. Панковой, 57А-1, маг. Евроопт","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Праздничные дни: выходной;",(01512) 93869,53.168714,24.432739
Гродненское РУП Фармация Аптека N225,"Волковыск, ул. Октябрьская, 55, пом. 68","08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздничные дни: 9:00-17:00;",(01512) 68246,53.142427,24.424106
Гродненское РУП Фармация Аптека N226,"Ошмяны, ул. Первомайская, 3","09.00-19.00, пн.–пт.; 09.00-15.00, сб.; 09.00-15.00, вс.; Перерыв: 14.00-15.00 Праздничные дни: выходной",(01593) 21520,54.423803,25.936236
Гродненское РУП Фармация Аптека N227,"Слоним, ул. Ершова, 58, маг. Евроопт","09.00-22.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Праздничные дни: 9.00-21.00;",(01562) 64472,53.082072,25.305245
Гродненское РУП Фармация Аптека N228,"Гродно, ул. Южная, 7А","10.00-21.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздничные дни: 9:00-17:00;",(0152) 672552,53.642741,23.867617
Гродненское РУП Фармация Аптека N229,"Дятлово, ул. Слонимская, 6А, маг. Евроопт","09.00-21.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Праздничные дни: 9.00 до 19.00",(01563) 60870,53.468901,25.397264
Гродненское РУП Фармация Аптека N23,"Щучин, аг. Першемайск, ул. Первомайская, 7-2","выходной, пн.; 09.30-16.00, вт.; 09.30-16.00, ср.; 09.30-16.00, чт.; 09.00-16.00, пт.; 09.30-13.00, сб.; выходной, вс.; Праздничные дни: выходной;",(01514) 21069,53.909387,24.645221
Гродненское РУП Фармация Аптека N230,"Гродно, ул. Советских Пограничников, 54","09.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Праздничные дни: выходной",(0152) 658826,53.669427,23.818812
Гродненское РУП Фармация Аптека N231,"Сморгонь, ул. Советская, 83, маг. Родны Кут","10.00-19.00, пн.–пт.; 10.00-16.00, сб.; выходной, вс.; Праздничные дни: выходной;",(01592) 38261,54.487014,26.377726
Гродненское РУП Фармация Аптека N232,"Островец, ул. Короткевича, 4","10.00-22.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.; Праздничные дни: выходной;",(01591) 74921,54.607503,25.968561
Гродненское РУП Фармация Аптека N233,"Лида, ул. Кирова, 19, центральная районная пол-ка","08.00-20.00, пн.–пт.; 08.00-14.00, сб.; выходной, вс.; Перерыв: 15.00-15.30 Праздничные дни: выходной;",(0154) 659923,53.893057,25.295121
Гродненское РУП Фармация Аптека N234,"Свислочь, ул. Цагельник, 12, маг. Евроопт","10.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Праздничные дни: выходной",(01513) 71143,53.036161,24.108484
Гродненское РУП Фармация Аптека N235,"Волковыск, ул. Первомайская, 8-49, маг. Евроопт","10.00-19.00, пн.–пт.; 10.00-16.00, сб.; 10.00-16.00, вс.; Праздничные дни: 10:00-16:00;",(01512) 94375,53.162958,24.457541
Гродненское РУП Фармация Аптека N237,"Гродно, ул. Брикеля, 26, маг. Санта","09.00-22.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Праздничные дни: 10.00-20.00",(0152) 680394,53.700778,23.852445
Гродненское РУП Фармация Аптека N238,"Мосты, ул. Советская, 33","09.00-19.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Праздничные дни: выходной;",(01515) 38202,53.414103,24.543788
Гродненское РУП Фармация Аптека N239,"Березовка, ул. Школьная, 36","09.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.",(0154) 621127,53.725936,25.513439
Гродненское РУП Фармация Аптека N24,"Новогрудок, ул. Советская, 67г, Магазин Хит","09.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздничные дни: 9:00-17:00;",(01597) 46812,53.582811,25.814608
Гродненское РУП Фармация Аптека N240,"Островец, ул. Володарского, 2","10.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01591) 73542,54.615037,25.959946
Гродненское РУП Фармация Аптека N241,"Слоним, ул. Школьная, 1, пом. 1","выходной, пн.; 09.00-16.00, вт.; 09.00-16.00, ср.; 09.00-16.00, чт.; 09.00-16.00, пт.; 09.00-15.00, сб.; 09.00-15.00, вс.; Праздничные дни: выходной;",(01562) 65941,53.093240,25.317947
Гродненское РУП Фармация Аптека N243,"Щучин, ул. Советская, 19-2, общежитие Автопровод","09.00-19.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.; Праздничные дни: выходной",(01514) 79672,53.611227,24.735886
Гродненское РУП Фармация Аптека N244,"Островец, ул. Карла Маркса, 1","09.00-18.00, пн.; 09.00-18.00, вт.; 09.00-18.00, ср.; 10.00-18.00, чт.; 10.00-18.00, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",(01591) 73425,54.616748,25.959384
Гродненское РУП Фармация Аптека N245,"Волковыск, ул. Горбатова, 3В","08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.",(01512) 93404,53.162812,24.442984
Гродненское РУП Фармация Аптека N246,"Лида, ул. Фомичева, 4","08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 10.00-16.00, вс.; Праздничные дни: 10:00-16:00;",(0154) 626044,53.913682,25.238734
Гродненское РУП Фармация Аптека N247,"Гродно, ул. Асфальтная, 55, маг. Маяк","11.00-20.00, пн.–пт.; 11.00-18.00, сб.; 11.00-17.00, вс.; Праздничные дни: выходной;",(0152) 783142,53.717949,23.862227
Гродненское РУП Фармация Аптека N248,"Гродно, ул. Садакова, 1, маг. Евроопт","09.30-21.00, пн.–пт.; 09.30-21.00, сб.; 09.30-19.00, вс.; Праздничные дни: 9.30-19.00",(0152) 688168,53.629527,23.855041
Гродненское РУП Фармация Аптека N249,"Гродно, б-р Ленинского комсомола, 44/2, маг. Санта","08.30-22.00, пн.–пт.; 09.00-20.30, сб.; 09.00-20.30, вс.; Праздничные дни: 9:00-20:30;",(0152) 688247,53.696677,23.804527
Гродненское РУП Фармация Аптека N25,"Вороново, аг. Бенякони, ул. Виленская, 91-1, аптека","09.00-17.00, пн.; 09.00-17.00, вт.; 09.00-17.00, ср.; 09.00-17.00, чт.; выходной, пт.; выходной, сб.; выходной, вс.; Перерыв: 13:00-14:00; Праздничные дни: выходной",(01594) 46801,54.250493,25.355511
Гродненское РУП Фармация Аптека N250,"Гродно, ул. Химиков, 5, 7-я городская пол-ка","07.30-21.00, пн.–пт.; 08.30-17.00, сб.; выходной, вс.; Праздничные дни: выходной",(0152) 632674,53.642535,23.859163
Гродненское РУП Фармация Аптека N251,"Гродно, ул. Тавлая, 50Б, маг. Евроопт","10.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.; Праздничные дни: 10:00-19:00;",(0152) 781445,53.708752,23.859901
Гродненское РУП Фармация Аптека N252,"Скидель, ул. Ленина, 82А, маг. Евроопт","10.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Праздничные дни: выходной;",(0152) 472621,53.575914,24.240930
Гродненское РУП Фармация Аптека N253,"Гродно, ул. Южная, 30, ТЦ МегаБрэнд","10.00-20.00, пн.–пт.; 10.00-17.00, сб.; 10.00-17.00, вс.; Праздничные дни: 10:00-17:00;",(0152) 632607,53.635043,23.853055
Гродненское РУП Фармация Аптека N254,"Слоним, ул. Брестская, 81Б, ТЦ Гранд","08.00-21.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Праздничные дни: 9.00-19.00;",(01562) 69731,53.084588,25.299341
Гродненское РУП Фармация Аптека N256,"Скидель, ул. Ленина, 40","08.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Праздничные дни: 9.00-17.00",(0152) 683948,53.590941,24.252456
Гродненское РУП Фармация Аптека N257,"Островец, ул. Энергетиков, 1/4","09.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01591) 28257,54.607018,25.980940
Гродненское РУП Фармация Аптека N258,"Слоним, ул. Красноармейская, 73Г, супермаркет Светофор","09.00-22.20, пн.; 09.00-22.00, вт.; 09.00-22.00, ср.; 09.00-22.00, чт.; 09.00-22.00, пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Праздничные дни: 9:00-22:00;",(01562) 25579,53.083554,25.324783
Гродненское РУП Фармация Аптека N259,"Гродно, ул. Огинского, 19-139, рядом с амбулаторией","10.00-23.00, пн.; 10.00-23.00, вт.; 10.00-23.00, ср.; 10.00-22.00, чт.; 10.00-23.00, пт.; 10.00-23.00, сб.; 10.00-23.00, вс.; Праздничные дни: 10.00-23.00;",(0152) 675087,53.617292,23.812506
Гродненское РУП Фармация Аптека N26,"Зельва, д. Деречин, ул. Гастелло, 25","выходной, пн.; 08.00-16.00, вт.; выходной, ср.; 08.00-16.00, чт.; выходной, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01564)  31238,53.248297,24.920629
Гродненское РУП Фармация Аптека N260,"Гродно, ул. Суворова, 308-4, маг. Виталюр","10.00-21.45, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Праздничные дни: 10.00-20.00",(0152) 677515,53.646568,23.780148
Гродненское РУП Фармация Аптека N261,"Гродно, ул. Советских Пограничников, 112- 47, за маг. Алми","09.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-17.00, вс.; Праздничные дни: выходной",(0152) 395187,53.671442,23.797940
Гродненское РУП Фармация Аптека N262,"Гродно, ул. Томина, 14/2, рядом с маг. Фикспрайс","09.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Праздничные дни: выходной",(0152) 667870,53.650880,23.829214
Гродненское РУП Фармация Аптека N263,"Гродно, ул. Стефана Батория, 10-65, маг. Батория","07.30-21.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Праздничные дни: 9:00-19:00;",(0152) 624363,53.677386,23.830768
Гродненское РУП Фармация Аптека N266,"Гродно, ул. Гагарина, 41-1, маг. Санта","09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.; Праздничные дни: 10.00-19.00",(033) 6708022,53.672644,23.808185
Гродненское РУП Фармация Аптека N267,"Новогрудок, ул. Ленина, 11-1","09.00-21.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздничные дни: 9:00-17:00;",(01597) 41700,53.595906,25.826987
Гродненское РУП Фармация Аптека N268,"Гродно, аг. Путришки, ул. Интернациональная, 9-3","09.00-15.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(0152) 321665,53.698480,23.951511
Гродненское РУП Фармация Аптека N27,"Щучин, аг. Скрибовцы, ул. Восточная, 45А-4","выходной, пн.; 09.00-15.00, вт.; выходной, ср.; 08.00-17.00, чт.; выходной, пт.; выходной, сб.; выходной, вс.; Перерыв: 12.00-13.00 Праздничные дни: выходной",(01514) 37516,53.690868,24.999353
Гродненское РУП Фармация Аптека N270,"Волковыск, ул. Жолудева, 26","09.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.; Перерыв: 13.40-14.00; Праздничные дни: выходной;",(01512) 63081,53.156862,24.450750
Гродненское РУП Фармация Аптека N271,"Гродно, ул. Озерское шоссе, 14, напротив маг. ГроДар","10.30-18.30, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(0152) 714737,53.690643,23.865677
Гродненское РУП Фармация Аптека N272,"Гродно, ул. Франтишка Богушевича, 40, маг. Грошык","10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.; Праздничные дни: 10:00-21:00;",(0152) 677211,53.618216,23.805849
Гродненское РУП Фармация Аптека N28,"Зельва, аг. Елка, ул. Ленина, 17","09.00-16.30, пн.; выходной, вт.; 09.00-16.30, ср.; 09.00-16.30, чт.; выходной, пт.; выходной, сб.; выходной, вс.; Перерыв: 13.00-14.00 Праздничные дни: выходной",(01564) 32254,53.129910,25.138195
Гродненское РУП Фармация Аптека N29,"Гродно, д. Новая Гожа, 5, амбулатория","08.30-17.30, пн.; 08.30-17.30, вт.; 08.30-17.00, ср.; 08.30-17.30, чт.; 08.30-17.30, пт.; 09.30-14.30, сб.; выходной, вс.; Перерыв: 12:30-13:00; Праздничные дни: выходной;",(0152) 471887,53.807557,23.864772
Гродненское РУП Фармация Аптека N3,"Гродно, ул. Антонова, 4","08.00-20.00, пн.–пт.; 08.00-18.00, сб.; 08.00-17.00, вс.; В праздничные дни Аптека работает с 8.00 до 17.00",(0152) 620122,53.676180,23.842164
Гродненское РУП Фармация Аптека N30,"Волковыск, аг. Верейки, ул. Гродненская, 20, пом.2","08.00-13.00, пн.; выходной, вт.; 08.00-13.00, ср.; выходной, чт.; 08.00-13.00, пт.; 08.00-13.00, сб.; выходной, вс.; Перерыв: 10.30-10.50 Праздничные дни: выходной",(01512) 92252,53.248824,24.187602
Гродненское РУП Фармация Аптека N31,"Новогрудок, ул. Франциска Скорины, 4, Стоматологическая поликлиника УЗ ЦРБ","08.45-17.05, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:40-14:00 Праздничные дни: выходной;",(01597) 43878,53.592533,25.807879
Гродненское РУП Фармация Аптека N32,"Волковыск, аг. Подороск, ул. Строительная, 5, амбулатория","09.00-14.00, пн.; 09.00-14.00, вт.; выходной, ср.; 09.00-14.00, чт.; 09.00-14.00, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01512) 72123,52.985635,24.611551
Гродненское РУП Фармация Аптека N33,"Вороново, аг. Заболоть, ул. Коммунистическая, 5","08.30-17.00, пн.; 08.30-17.00, вт.; 09.00-17.00, ср.; 09.00-17.00, чт.; выходной, пт.; выходной, сб.; 09.00-18.00, вс.; Перерыв: 13.00-13.10 Праздничные дни: выходной;",(01594) 41889,53.926501,24.790206
Гродненское РУП Фармация Аптека N34,"Щучин, аг. Василишки, ул. 70 лет Октября, 31-1","08.00-19.00, пн.–пт.; 09.00-16.00, сб.; 09.00-16.00, вс.; Праздничные дни: выходной;",(01514) 79366,53.783661,24.845900
Гродненское РУП Фармация Аптека N35,"Волковыск, г.п. Россь, ул. Карла Маркса, 3, возле костёла","09.00-19.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздничные дни: 9:00-17:00",(01512) 62141,53.284173,24.408124
Гродненское РУП Фармация Аптека N36,"Гродно, ул. Советская, 1, возле магазина Ратушный","09.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Праздничные дни: 10:00-18:00;",(0152) 621708,53.679103,23.829762
Гродненское РУП Фармация Аптека N37,"Лида, д. Ваверка, ул. Центральная, 9А-1, маг. Родны Кут","выходной, пн.; 08.45-15.45, вт.; выходной, ср.; 08.45-15.15, чт.; выходной, пт.; выходной, сб.; 08.45-15.45, вс.; Перерыв: 12.00-12.20 Праздничные дни: выходной",(0154) 541634,53.833517,24.965682
Гродненское РУП Фармация Аптека N38,"Щучин, аг. Рожанка, ул. Щучинская, 22А","09.00-16.00, пн.; выходной, вт.; 09.00-16.00, ср.; 09.00-16.00, чт.; выходной, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",(01514) 43580,53.541035,24.742282
