Название аптеки,Адрес,Телефон,Время работы,Цена
Брестское РУП Фармация Аптека N144,"Ивацевичи, ул. Заслонова, 2, в здании ЖД вокзала",(01645) 90203,"08.00-18.00, пн.–пт.; 07.00-15.00, сб.; 07.00-15.00, вс.; Праздничные дни: 7:00-15:00;",
АльфаАптека Аптека N4 ОДО Салюслайн,"Гродно, ул. Лиможа, 41",(0152) 563910,"08.00-22.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Праздничные дни: 10.00 - 19.00; Санитарные часы: третья суббота месяца с 9.00 до 11.00;",
Добрыя Леки Аптека N68 ООО Аптека групп Запад,"Гродно, ул. Огинского, 22, маг. Выгода",моб. 5355757,"09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Брестское РУП Фармация Аптека N26,"Брест, ул. Медицинская, 11, в здании кожвендиспансера",(0162) 539293,"08.00-20.00, пн.–пт.; 08.00-16.00, сб.; выходной, вс.; Праздничные дни: выходной;",
Белана ООО ПКФ Аптека N13,"Волковыск, г.п. Красносельский, ул. Строителей, 19Б, по плану пом. 38, маг. Санта",(01512) 51923,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: последнее воскресенье месяца 19.00-21.00",
ADEL Аптека N11 ООО Аптека групп Центр,"Минск-Фрунзенский, м. Пушкинская, выход на гостиницу Орбиту",(044) 5034264,"07.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.",
Календула ЧУП Аптека N1,"Островец, ул. Карла Маркса, 13-1, ТЦ Талер",(01591) 78015,"08.00-21.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
Искамед ООО Аптека N23,"Минск-Первомайский, пр-т Независимости, 185",(017) 2240911,"08.00-22.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарные часы: четвертая среда каждого месяца с 8:00 до 11:00;",
Добрыя леки Аптека N47 ООО Аптека групп Запад,"Гродно, ул. Пушкина, 39А, маг. Санта",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Белфармация Аптека N88 (филиал 1),"Минск-Ленинский, ул. Энгельса, 25, кардиодиспансер при 2-й городской больнице, 2 этаж",(017) 3692452,"08.00-19.30, пн.–пт.; 09.00-14.00, сб.; выходной, вс.; Санитарные часы: первый понедельник каждого месяца с 17:30 до 19:30;",
Новамедика Аптека N22,"Дзержинск, трасса М-1, 320км, 8, пом. 2,5, АЗС Веста",(017) 1667082,"выходной, пн.; 07.30-16.30, вт.; 07.30-16.30, ср.; 07.30-16.30, чт.; 07.30-16.30, пт.; 07.30-16.30, сб.; выходной, вс.; Санитарный день - 3-й четверг месяца",
Искамед ООО Аптека N43,"Минск-Московский, ул. Лермонтова, 30А",(017) 2580628,"08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Санитарные часы: четвертый вторник каждого месяца с 8:00 до 10:00;",
Сакавик ООО Аптека N2,"Слуцк, ул. Максима Богдановича, 54, ТЦ Южный",(01795) 28200,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.",
Добрыя Леки Аптека N33 ООО Аптека групп Центр,"Слуцк, ул. Уласовца, 4",моб. 5355757,"08.00-20.00, пн.–пт.; 08.00-18.00, сб.; 08.00-18.00, вс.",
Ремедика Интерофицина Плюс ООО Аптека N23,"Минск-Московский, ул. Розы Люксембург, 107-111",(017) 3479624,"09.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.",
Промснабсервис ЗАО Аптека N1 второй категории,"Барановичи, ул. 50 лет ВЛКСМ, 13",(0163) 681348,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Праздничные дни: 10:00-18:00;",
Белфармация Аптека N91 (филиал 1),"Минск-Фрунзенский, ул. Одинцова, 75, 25-я детская пол-ка, 1 этаж, пом.67",(017) 3635691,"08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: первый вторник каждого месяца с 13:00 до 15:00;",
Витафарм ООО Аптека N2,"Брест, ул. Гоголя, 32",(0162) 216103,Круглосуточно; Санитарные часы: третий четверг каждого месяца с 9:00-11:00;,
Медвакс СЗАО Аптека N2,"Минск-Московский, пр-т Дзержинского, 126, ТЦ Простор",(017) 2583832,"08.00-23.00, пн.–пт.; 08.00-23.00, сб.; 08.00-23.00, вс.",
Арника-Люкс ООО Аптека N6,"Кобрин, ул. Суворова, 3",(044) 5073506,"08.00-20.30, пн.–пт.; 08.00-20.30, сб.; 08.00-20.30, вс.",
Воркаут Мед ЧУП интернет-магазин медтехники,"РБ, доставка по РБ",(029) 6129303,Круглосуточно,
Искамед ООО Аптека N45,"Минск-Фрунзенский, ул. Лобанка, 81",(017) 3747070,"09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарные часы: четвертый вторник каждого месяца с 9:00 до 12:00;",
Медтехника РУП Магазин Оптика N11,"Шклов, ул. Ленинская, 47",(02239) 76239,"09.00-17.30, пн.–пт.; выходной, сб.; выходной, вс.; Обеденный перерыв: 13.30-14.00;",
Добрыя Леки-Эканом Аптека N24 ООО Аптека групп Центр,"Минск-Центральный, пр-т Победителей, 49",моб. 5355757,"09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Добрыя Леки Аптека N10 ООО Аптека групп Центр,"Минск-Заводской, м. Партизанская, подземный переход, выход к ул. Долгобродская",моб. 5355757,"08.00-20.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",
Медтехника УП Магазин Оптика,"Дрогичин, ул. Карла Маркса, 5",(01644) 20309,"09.00-18.00, пн.–пт.; 08.00-16.00, сб.; 08.00-16.00, вс.",
Добрыя Леки Аптека N48 ООО Аптека групп Центр,"Минск-Заводской, ул. Уборевича, 58, маг. Соседи",моб. 5355757,"09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",
Соцфарма ООО Аптека N6,"Минск-Центральный, ул. Орловская, 40-3, пом. 3-4 — 3-9, 3-11, 3-12",(017) 2706729,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарный час: каждый второй понедельник месяца с 9:00 до 12:00",
АльфаАптека Аптека N3 Беллерофон ООО,"Минск-Московский, ул. Сергея Есенина, 16, пом. 1Н",(017) 3707221,"08.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Санитарные часы: третье воскресенье каждого месяца с 9:00 до 11:00;",
Зялёная крама Торговый объект N771 ООО Ирина-Фарм,"Брест, ул. Белова, 2, 2-я городская пол-ка",7822 - А1+mts,"07.30-18.30, пн.–пт.; выходной, сб.; выходной, вс.",
АльфаАптека Аптека N6 ОДО Аленфарм плюс,"Новополоцк, ул. Молодежная, 169, пом. 2А",(0214) 510748,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: первый понедельник каждого месяца с 9:00 до 11:00;",
Минская Фармация Аптека N247,"Солигорск, ул. Парковая, детская пол-ка",(0174) 338147,"08.00-19.40, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Искамед ООО Аптека N4,"Пинск, ул. Первомайская, 145-109",(0165) 638081,"08.00-21.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: первый вторник каждого месяца с 8:00 до 11:00;",
Белана ООО ПКФ Аптека N18,"Жабинка, ул. Заречная, 26-49",(01641) 32993,"10.00-20.00, пн.–пт.; 10.00-20.00, сб.; выходной, вс.",
Календула ЧУП Аптека N2,"Островец, ул. Аэродромная, 21-4",(01591) 74811,"08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Искамед ООО Аптека N15,"Светлогорск, ул. Калинина, 31А",(02342) 23777,"08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Санитарные часы: первый четверг каждого месяца с 8:00 до 11:00;",
Белфармация Аптека N81 (филиал 3),"Минск-Московский, ул. Семашко, 8/1, Минский НПЦ хирургии,трансплантологии и гематологии",(017) 3587971,"08.00-19.30, пн.–пт.; 09.00-15.00, сб.; выходной, вс.; Санитарные часы: четвертая пятница каждого месяца с 18:00 до 20:00;",
Искамед ООО Аптека N6,"Могилев, ул. Королева, 20",(0222) 787277,"08.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.; Санитарные часы: четвертый четверг каждого месяца с 8:00 до 11:00;",
Планета Здоровья Оптика FOCUS,"Боровляны, д. Боровляны, ул. 40 лет Победы, 43",+375447699169,"10.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Санитарный день",
Гродненское РУП Фармация Аптека N220,"Гродно, ул. Суворова, 21-67, стоматологическая пол-ка",(0152) 652923,"10.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",
Добрыя Леки Аптека N58 ООО Аптека групп Центр,"Слуцк, ул. Ленина, 146, маг. Копеечка",моб. 5355757,"09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Искамед ООО Аптека N50,"Могилев, пр-т Шмидта, 40",(0222) 736263,"09.00-21.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: четвертый четверг каждого месяца с 9:00 до 12:00;",
Гродненское РУП Фармация Аптека N205,"Гродно, ул. Дзержинского, 54А-3, маг. Санта",(0152) 681245,"10.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-18.00, вс.; Праздничные дни: 10.00-18.00;",
Могилевское РУП Фармация Аптека N220,"Быхов, д. Годылево, ул. Парковая, 1",(02231) 40183,"08.30-16.50, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12.30-12.50;                       Праздничные дни: выходной;",
Брестское РУП Фармация Аптека N108,"Иваново, д. Одрижин, ул. Ленина, 16, в здании амбулатории",(01652) 95291,"09.00-15.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Зялёная крама Торговый объект N703 ООО Ирина-Фарм,"Орша, ул. Новаторов, 3А, 2-я городская пол-ка, 1 этаж",7822 - А1+mts,"08.00-19.00, пн.–пт.; выходной, сб.; выходной, вс.",
Зялёная крама Торговый объект N770 ООО Ирина-Фарм,"Жлобин, ул. Воровского, 1, пол-ка УЗ ЦРБ",7822 - А1+mts,"08.00-19.00, пн.–пт.; выходной, сб.; выходной, вс.",
АльфаАптека Аптека N3 ОДО Меджел,"Минск-Фрунзенский, ул. Данилы Сердича, 48А",(017) 3628257,"09.00-21.00, пн.–пт.; 09.00-19.00, сб.; 10.00-18.00, вс.; Санитарные часы: первый понедельник месяца с 9.00 до 11.00;",
Медвакс СЗАО Аптека N39,"Новогрудок, ул. Минская, 1-2",(01597) 40898,"08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.",
Гомельское УП Фармация Аптека N190/5,"Мозырь, ул. Советская, 164",(0236) 251644,"08.00-20.00, пн.–пт.; 08.00-15.00, сб.; выходной, вс.; Перерыв в субботу: 12.00-12.30;  Санитарные часы: последний вторник каждого месяца с 8:00 до 10:00;",
Белфармация Аптека N112 (филиал 3),"Минск-Первомайский, ул. Героев 120 дивизии, 21, маг. Евроопт, 2 этаж",(017) 2427310,"10.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-18.00, вс.; Санитарные часы: второй вторник каждого месяца с 10.00 до 12.00; Перерыв в будни: 13:20-13:40, 16:20-16:40; Перерыв в выходные: 13:20-13:40,",
Минская Фармация Аптека N39,"Клецк, ул. Советская, 91",(01793) 67659,"09.30-18.00, пн.–пт.; выходной, сб.; выходной, вс.",
АльфаАптека Аптека N16 ОДО Меджел,"Минск-Московский, ул. Уманская, 54-80, ТЦ Глобо, 1 этаж",(017) 3951304,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: второй вторник месяца с 9.00 до 11.00;",
Брестское РУП Фармация Аптека N104,"Ольшаны, ул. Гагарина, 48, маг. Санта",(01655) 55413,"09.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-14.00, вс.; Праздничные дни: выходной;",
Минская Фармация Аптека N293,"Столбцы, ул. Центральная, 10А",(01717) 52476,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.",
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Могилев, Самовывоз при бронировании",(29) 6838787,"08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-20.00, вс.",
Добрыя Леки Аптека N7 ООО Аптека групп Центр,"Минск-Ленинский, Игуменский тр-т, 45",моб. 5355757,"09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Юнифарм ООО Аптека N27,"Жодино, ул. Калиновского, 13-5",(044) 5071527,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Праздничные дни с 10 до 18",
Искамед ООО Аптека N71,"Брест, пр-т Машерова, 70",(0162) 508360,"09.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: четвертый понедельник каждого месяца с 9:00 до 12:00;",
Добрыя Леки Аптека N21 ЗАО Аптека групп Юг,"Ветка, ул. Октябрьская, 47, напротив автостанции",моб. 5355757,"08.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
Зялёная крама Торговый объект N77 ООО Ирина-Фарм,"Минск-Ленинский, ул. Маяковского, 6",7822 - А1+mts,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Медтехника УП Магазин Оптика,"Береза, ул. Советская, 66А",(01643) 45056,"08.00-17.00, пн.; 08.00-18.00, вт.; 08.00-18.00, ср.; 08.00-18.00, чт.; 08.00-18.00, пт.; 08.00-16.00, сб.; выходной, вс.; Обед 13.00 - 14.00",
Витебское УП Фармация Аптека N323,"Бешенковичи, ул. Урицкого, 59А",(0213) 163311,"выходной, пн.; 10.00-18.00, вт.; 10.00-18.00, ср.; 10.00-18.00, чт.; 10.00-18.00, пт.; 10.00-18.00, сб.; выходной, вс.",
Медтехника УП Магазин Оптика г. Петриков,"Петриков, ул. Луначарского, 5",(02350) 28212,"08.00-16.00, пн.–пт.; выходной, сб.; выходной, вс.; обед: 12:30-13:00",
Добрыя Леки Аптека N73 ООО Аптека групп Центр,"Минск-Партизанский, пр-т Партизанский, 37, маг. Евроопт",моб. 5355757,"10.00-21.00, пн.–пт.; 10.00-20.00, сб.; 11.00-20.00, вс.",
Медвакс СЗАО Аптека N27,"Минск-Октябрьский, ул. Германовская, 19, маг. Белмаркет",(017) 3239902,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Брестское РУП Фармация Аптека N209,"Столин, аг. Белоуша, ул. Советская, 41А, в здании амбулатории",(01655) 69009,"08.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:00-14:00;                      
Праздничные дни: выходной;",
Медтехника УП Магазин Медтехника N7,"Гомель, ул. Медицинская, 4, кардиологический центр, вход с улицы",(0232) 295947,"09.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:00-13:30;",
Гродненское РУП Фармация Аптека N67,"Новогрудок, г.п. Любча, ул. Юбилейная, 31, горпоселковая пол-ка",(01597) 42597,"08.00-18.00, пн.–пт.; 08.00-13.00, сб.; выходной, вс.; Праздничные дни: выходной;",
Радикс Аптека N14 ООО Диалпро,"Любань, ул. Первомайская, 67",(01794) 63202,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Брестское РУП Фармация Аптека N280,"Ивацевичи, пер. Почтовый, 7А",(01645) 96724,"09.00-19.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздничные дни: 9:00-15:00;",
Добрыя Леки-Эканом Аптека N30 ОДО Амадей,"Мозырь, ул. Интернациональная, 53Б, ТЦ Interplaza, пом. 28",моб. 5355757,"08.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
САВфарм ООО Аптека N5,"Новогрудок, ул. Советская, 10",(01597) 34080,"08.00-19.00, пн.–пт.; 09.00-15.00, сб.; 09.00-15.00, вс.; Санитарный день: 1-ый понедельник месяца 14:00-16:00; Праздничные дни: 9:00-15:00;",
Искамед ООО Аптека N25,"Минск-Фрунзенский, ул. Иосифа Жиновича, 1-239",(017) 2435163,"09.00-22.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.; Санитарные часы: первая среда каждого месяца с 9:00 до 12:00;",
Брестское РУП Фармация Аптека N106,"Лунинец, аг. Красная Воля, ул. Зеленая, 1А",(01647) 28460,"08.30-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13.00-13.30;                                                     Праздничные дни: выходной;",
Искамед ООО Аптека N116,"Минск-Московский, пер. 2-й Розы Люксембург, 6",(017) 3502807,"09.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: четвертая пятница каждого месяца с 9:00 до 11:00;",
Добрыя леки Аптека N6 ЗАО Аптека групп Юг,"Могилев, пр-т Пушкинский, 35Б, маг. Перекресток",моб. 5355757,"08.00-22.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Добрыя леки Аптека N16 ООО Аптека групп Запад,"Брест, ул. Пушкинская, 102А, маг. Mart Inn",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Гродненское РУП Фармация Аптека N238,"Мосты, ул. Советская, 33",(01515) 38202,"09.00-19.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Праздничные дни: выходной;",
Медицинский магазин N19 Польза,"Гомель, ул. Интернациональная, 48",(029) 6513028,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Моя Аптека ООО Аптека N25,"Гродно, ул. Максима Горького, 53А",(0152) 556599,"09.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
Минская Фармация Аптека N148,"Солигорск, ул. Коржа, 1, Солигорская районная пол-ка",(0174) 314894,"08.00-19.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Брестское РУП Фармация Аптека N177,"Брест, ул. Кижеватова, 74, в здании детской поликлиники N1",(0162) 574424,"08.00-20.00, пн.–пт.; 09.00-15.00, сб.; выходной, вс.; Праздничные дни: выходной;",
Могилевское РУП Фармация Аптека N59,"Чаусы, пер. Первомайский, 5",(02242) 71438,"09.30-19.00, пн.–пт.; 09.30-19.00, сб.; 09.30-19.00, вс.; Перерыв: 14:00-14:30;",
АльфаАптека Аптека N8 Не Ска ООО,"Минск-Ленинский, Игуменский тр-т, 11, магазин Green",(017) 3797655,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: первый четверг месяца с 9.00 до 11.00;",
Брестское РУП Фармация Аптека N96,"Пинск, д. Ласицк, ул. Ковалевича, 3",(0165) 395174,"10.00-14.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Витебское УП Фармация Аптека N348,"Ушачи, ул. Ленинская, 20А, в здании редакции газеты Патриот",(02158) 59700,"выходной, пн.; 09.30-17.00, вт.; 09.30-17.00, ср.; 09.30-17.00, чт.; 09.30-17.00, пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Брестское РУП Фармация Аптека N124,"Брест, ул. Советской Конституции, 8А, в здании детской поликлиники N2",(0162) 282322,"08.00-20.00, пн.–пт.; 09.00-15.00, сб.; выходной, вс.; Праздничные дни: выходной;",
АльфаАптека Аптека N14 ОДО Салюслайн,"Щучин, ул. Октябрьская, 16-2",(01514) 78760,"09.00-19.00, пн.–пт.; 09.00-16.00, сб.; 09.00-16.00, вс.; Санитарные часы: первая понедельник месяца с 9.00 до 11.00;",
Добрыя Леки Аптека N24 ОДО Амадей,"Калинковичи, ул. 60 лет БССР, 2а",моб. 5355757,"09.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
Медтехника УП Магазин Оптика г. Щучин,"Щучин, ул. Мичурина, 22",(01514) 20892,"08.30-17.00, пн.–пт.; выходной, сб.; выходной, вс.",
Минская Фармация Аптека N303,"Смолевичи, ул. Социалистическая, 52А-99",(01776) 25282,"10.30-21.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:30-14:00; Праздничные дни: выходной;",
Добрыя Леки Аптека N7 ЗАО Аптека групп Юг,"Чериков, ул. Рокоссовского, 27",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Медтехника УП Магазин Оптика г. Мозырь,"Мозырь, ул. Пролетарская, 83",(02362) 49001,"09.00-19.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.",
Гродненское РУП Фармация Аптека N182,"Свислочь, ул. 17 Сентября, 3/4",(01513) 77027,"08.00-16.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной",
Аптека Новая N4 ООО Пролайф,"Бобруйск, ул. Советская, 40-3, вход с Дзержинского, напротив магазина «Молочный»",(029) 3397959,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.; Санитарные часы: первый понедельник месяца с 18:00 до 20:00;",
Добрыя Леки Аптека N25 ООО Аптека групп Запад,"Брест, ул. Гродненская, 32, маг. Техника и быт",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Наша аптека N9 Аптечное дело ООО,"Минск-Советский, ул. Гикало, 28-2н",(017) 2401086,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 11.00-20.00, вс.",
Новамедика Аптека N28,"Смолевичи, аг. Слобода, Озерицко-Слободской с/с, ул. Машерова, 7А",(01776) 62079,"09.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-15.00, вс.; Санитарный день: каждый  третий четверг месяца с 9.00 до 14.00",
Медвакс СЗАО Аптека N20,"Минск-Московский, Щомыслицкий с/с, ТЦ Диамант",(017) 2754432,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",
Добрыя Леки Аптека N25 ООО Аптека групп Центр,"Минск-Московский, ул. Янки Брыля, 30, пом. 1Н",моб. 5355757,"08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Добрыя Леки Аптека N37 ЗАО Аптека групп Север,"Глубокое, ул. Коммунистическая, 17/1",моб. 5355757,"08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.",
Лотос-фарм ЧУТП Аптека N3 пятой категории,"Кобрин, ул. Парковая, 7/2",(01642) 36841,"09.00-20.00, пн.–пт.; 10.00-17.00, сб.; 10.00-17.00, вс.",
Белфармация Аптека N8 (филиал 3),"Минск-Октябрьский, ул. Воронянского, 50/1, отдельный вход справа, 38-я городская пол-ка",(017) 2316129,"08.00-21.00, пн.–пт.; 09.00-17.00, сб.; 10.00-18.00, вс.; Перерыв в субботу: 12:45-13:15; Перерыв в воскресенье: 13:45-14:15; Санитарные часы: третья среда каждого месяца с 8:00 до 10:00;",
Медпростор Салон медтехники и ортопедии N45,"Гродно, ул. Максима Горького, 69, пом. 22",(044) 5235717,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-18.00, вс.",
Аптека Новая N8 ООО Пролайф,"Бобруйск, ул. Интернациональная, 47, МЦ ""Сонодин""",(0225) 737899,"08.00-21.00, пн.–пт.; 08.00-21.00, сб.; 08.00-21.00, вс.; Санитарные часы: каждое третье воскресенье месяца с 18.00 до 21.00;",
Наша аптека N1 Аптечное дело ООО,"Минск-Московский, ул. Яна Чечота, 11-199",(017) 3613186,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 11.00-20.00, вс.",
Добрыя леки Аптека N79 ЗАО Аптека групп Юг,"Пинск, ул. Рокоссовского, 26В-42",моб. 5355757,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.",
Добрыя леки Аптека N73 ООО Аптека групп Запад,"Гродно, ул. Победы, 47, маг. Евроопт",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Медтехника УП Магазин Оптика N1,"Барановичи, ул. Советская, 60",(0163) 669572,"08.00-19.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.",
Добрыя Леки-Эканом Аптека N29 ООО Аптека групп Центр,"Минск-Фрунзенский, пр-т Пушкина, 52",моб. 5355757,"08.00-21.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
Белфармация Аптека N88 (филиал 2),"Минск-Центральный, ул. Орловская, 66/9,  РНПЦ Мать и дитя, 9-й корпус консультац. поликлинич. отделения, центральн. вход, 2 этаж",(017) 3671027,"08.00-19.30, пн.–пт.; 09.00-14.00, сб.; выходной, вс.; Санитарные часы: последний четверг каждого месяца с 17:30; Перерыв 11.06.24: 13:50-14:05;",
Искамед ООО Аптека N53,"Витебск, ул. Анатолия Богатырева, 28",(0212) 617766,"09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарные часы: первая пятница каждого месяца с 9:00 до 12:00;",
Гомельское УП Фармация Аптека N90/4,"Житковичи, ул. Фрунзе, 67Б",(02353) 36711,"выходной, пн.; 09.00-17.30, вт.; 09.00-17.30, ср.; 09.00-17.30, чт.; 09.00-17.30, пт.; 09.00-17.30, сб.; выходной, вс.; Обед: 13.30-14.00;",
Витебское УП Фармация Аптека N159,"Новополоцк, промзона ОАО Нафтан, пол-ка",(0214) 598437,"08.30-16.30, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Зялёная крама Торговый объект N36 ООО Ирина-Фарм,"Минск-Фрунзенский, ул. Кунцевщина, 22, 5-я детская пол-ка",7822 - А1+mts,"8.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
Могилевское РУП Фармация Аптека N180,"Чаусы, ул. 60 лет СССР, 65А",(02242) 70466,"выходной, пн.; 08.30-16.50, вт.; 08.30-16.50, ср.; 08.30-16.50, чт.; 08.30-16.50, пт.; 08.30-16.50, сб.; выходной, вс.; Перерыв: 13:00-13:20;
Праздничные дни: выходной;",
Гомельское УП Фармация Аптека N168/1,"Светлогорск, ул. Калинина, 4, районная пол-ка",(02342) 23106,"08.00-20.00, пн.–пт.; 09.00-15.00, сб.; выходной, вс.; Перерыв в субботу: 12:00-12:30; Праздничные дни: выходной;",
Медвакс СЗАО Аптека N41,"Минск-Фрунзенский, ул. Шаранговича, 21, ТЦ Гудвил",(017) 2321346,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарный день: каждый 2-ой понедельник месяца 9.00-12.00",
Гомельское УП Фармация Аптека N162/3,"Гомель, пр-т Победы, 5а-1",(0232) 202148,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.; Перерыв: 14:00-14:30;",
Добрыя леки Аптека N95 ООО Аптека групп Центр,"Минск-Октябрьский, пр-т Мира, 1, ЖК Минск-Мир, здание Волна",моб. 5355757,"09.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Тишас ОДО Аптека N31,"Минск-Первомайский, д. Копище, ул. Леонардо Да Винчи, 3, пом. 12",(017) 3709101,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
